_id,saep,dateSituation,cause,dateResolution,etat
1624, Aouled Ben Jeddou ,2020-06-02,,,F
1625,  Awled Bouaziz,2020-06-02,,,F
1626, Khorchof,2020-06-02,,,F
1627, Zairia,2020-06-02,,,F
1628, Mahrouka,2020-06-02,,,F
1629, Iglella,2020-06-02,,,F
1630,Galel,2020-06-02,,,F
1598,El Mghila  II,2020-06-02,,,F
1631, Birjehli,2020-06-02,,,F
1632,  Aouled zouaed ,2020-06-02,,,F
1633, Nouamer,2020-06-02,,,F
1634, Dakhlet  haddej ,2020-06-02,,,F
1635, Jabbas-Zouara,2020-06-02,Baisse de débit en période de pointe au niveau du piquage Sonede,mai-20,P
1636,Mech,2020-06-02,,,F
1637, Bouattouche,2020-06-02,,,F
1638, Amamria,2020-06-02,,,F
1639, Chifa _Rmilia,2020-06-02,,,F
1640,Oufouk_Ksaira,2020-06-02,,,F
1641, Ettawfik,2020-06-02,,,F
1642,Zefzef,2020-06-02,,,F
1643, Awled Dlela_El Khima,2020-06-02,Baisse de débit en période de pointe au niveau du piquage Sonede,mai-20,P
1644, El Karama,2020-06-02,,,F
1645,Dawara,2020-06-02,,,F
1646,  Bouhedma,2020-06-02,,,F
1647,  El Najeh,2020-06-02,,,F
1648, Atoumouh_Bir Echaref,2020-06-02,,,F
1649,  El Amal,2020-06-02,,,F
1650, Raihan,2020-06-02,,,F
1651,  El Wifak,2020-06-02,,,F
1652,El Entilaka,2020-06-02,,,F
1653, Enour,2020-06-02,,,F
1654, El Matleg,2020-06-02,,,F
1655, Gobrar ,2020-06-02,,,F
1656, Radhaa,2020-06-02,,,F
1657,Essaida Sud,2020-06-02,,,F
1658, Bir Akerma ,2020-06-02,,,F
1659, Inaw,2020-06-02,,,F
1660,Echwechneya,2020-06-02,,,F
1661, El Mharzeya,2020-06-02,Manque d'eau et banchements illicites,mai-20,P
1662,HERIA,2020-06-02,,,F
1663,JOUF ALHIRIA,2020-06-02,,,F
1664,FONDOK DEBBICHE,2020-06-02,Disparition du groupe électrogène,,A
1665,BOUAJILA,2020-06-02,,,F
1666,CHOUCHA,2020-06-02,Endettement SONEDE STEG,,A
1667,MAGROUNA,2020-06-02,,,F
1668,RHAMNA,2020-06-02,,,F
1669,DGUEGZA,2020-06-02,,,F
1670,ROUHIA 10,2020-06-02,,,F
1671,OULED LABIADH,2020-06-02,,,F
1672,MFETHIA,2020-06-02,Branchements illicites,avr-20,P
1673,BOUMIA,2020-06-02,,,F
1674,SOUALEM,2020-06-02,,,F
1675,BLAADIA,2020-06-02,,,F
1676,AOULED HAMMOUDA,2020-06-02,Endettement SONEDE Saddine,avr-20,P
1677,GARAA,2020-06-02,,,F
1678,AOULED CHIKH,2020-06-02,Manque d'eau,avr-20,P
1679,SODGA -DKHILA,2020-06-02,,,F
1680,BAYATH,2020-06-02,,,F
1681,ALKERMANIA,2020-06-02,,,F
1682,AIN ZAKKAR,2020-06-02,,,F
1683,AOULED ARFA,2020-06-02,,,F
1684,AOULED BEN AMOR,2020-06-02,,,F
1685,ALKNAZIZ,2020-06-02,,,F
1686,AIN SLIMEN,2020-06-02,,,F
1687,JOUABRIA-ATAYAT,2020-06-02,,,F
1688,AIN DISSA,2020-06-02,,,F
1689,AOULED SLEMA,2020-06-02,,,F
1690,MEDIOUNA,2020-06-02,,,F
1691,LOUATA,2020-06-02,,,F
1692,AOULED ABDA,2020-06-02,Endettement STEG,,A
1693,BALLOUTA-1,2020-06-02,,,F
1694,RAININE,2020-06-02,Manque d'eau,avr-20,P
1695,SIDI AMEUR,2020-06-02,,,F
1696,NMEYRIYA,2020-06-02,,,F
1697,MGUEDIL,2020-06-02,,,F
1698,FAOUAR JIBSSA,2020-06-02,,,F
1699,Ouled Haj Tahar (EN ARRET) - Bichga 1+Bichga 2,2020-06-02,,,F
1700,FTISS,2020-06-02,,,F
1701,HINCHIR ROMENE,2020-06-02,Endettement STEG,,A
1702,AIN KSIL,2020-06-02,,,F
1703,Mesrata - Jbalia Rmil+Frachiche,2020-06-02,,,F
1704,El Klila,2020-06-02,,,F
1707,OM ZID,2020-06-02,,,F
1708,BENNOURIA,2020-06-02,Branchements illicites,févr-20,P
1709,AOULED SLIT,2020-06-02,Branchements illicites,avr-20,P
1710,Ain Mellita,2020-06-02,,,F
1711,GARIYA SUD,2020-06-02,,,F
1712,THOUAWDA-FDHOUL,2020-06-02,,,F
1713,MANSOURA (HARGAN),2020-06-02,,,F
1714,JENOUA,2020-06-02,,,F
1715,GUEROUACHA,2020-06-02,,,F
1716,Ain Chrif,2020-06-02,,,F
1717,Ain Jouza,2020-06-02,,,F
1718,Ain El Khantoucha,2020-06-02,,,F
1719,Ain Deflaya,2020-06-02,,,F
1720,Ain Naga,2020-06-02,,,F
1721,Ain Faouar,2020-06-02,,,F
1722,Ain El Morra,2020-06-02,,,F
1723,Ain Maghraoua,2020-06-02,,,F
1724,Bni Abdallah,2020-06-02,,,F
1725,Ballaouta 2,2020-06-02,,,F
1726,Ain Ahmed Bou Ain,2020-06-02,,,F
1727,Ain Jouljoul,2020-06-02,,,F
1728,Zouagha,2020-06-02,,,F
1729,El Gniwat,2020-06-02,,,F
1730,Nfessa,2020-06-02,,,F
1731,Boudamous,2020-06-02,,,F
1732,Zouabine,2020-06-02,,,F
1733,Sidi Amara,2020-06-02,,,F
1734,Dyr Ouled Yahia,2020-06-02,,,F
1735,Argoub El Khalsa,2020-06-02,Raccordé à un système en arrêt au gouvernorat du Kef,,A
1736,El Knaziz,2020-06-02,,,F
1737,Ain Nchem,2020-06-02,,,F
1738,Ezghadia Sidi Ayed,2020-06-02,,,F
1739,Gmata,2020-06-02,,,F
1705,AIN BOUSLEMA,2020-06-02,,,F
1706,RHAHLA,2020-06-02,Endettement,,A
1740,Khouchchet Chaabane,2020-06-02,,,F
1741,El Barrama,2020-06-02,,,F
1742,Ouled Taleb,2020-06-02,,,F
1743,Hammame Biadha Janoubi - El Khanga,2020-06-02,,,F
1744,Boukhil - Oued Ellouz,2020-06-02,,,F
1745,Borj Messaoudi,2020-06-02,,,F
1746,Nchem - Essghairia,2020-06-02,,,F
1747,Tricha,2020-06-02,,,F
1748,Fej Abbed,2020-06-02,,,F
1749,Bni Hazem,2020-06-02,,,F
1750,Ennsirat,2020-06-02,,,F
1751,El Fej Ouled Tlil,2020-06-02,,,F
1752,Jebnoun - Hammam Kesra,2020-06-02,Baisse du débit- piquage SONEDE,,A
1753,Ellouza Kadima,2020-06-02,,,F
1754,Bou Ibdillah,2020-06-02,Manque d'eau et banchements illicites,avr-20,P
1755,Ellouza El Jadida,2020-06-02,,,F
1756,Piquage SONEDE,2020-06-02,,,F
1757,Msahla - El Marthoum - Ouled Slama - Essmirat,2020-06-02,Manque d'eau,,A
1758,Ain Ben Ali,2020-06-02,,,F
1759,Kchabtia,2020-06-02,,,F
1760,Gtaf,2020-06-02,,,F
1761,Groa,2020-06-02,,,F
1762,Maazia,2020-06-02,,,F
1763,Mdess Enawara,2020-06-02,,,F
1764,Chraifia,2020-06-02,,,F
1765,Oled Mhamed,2020-06-02,Endettement SONEDE,,P
1766,Souani,2020-06-02,,,F
1767,Douar Hmada,2020-06-02,Endettement SONEDE,,P
1768,Ouarrad,2020-06-02,,,F
1769,Oued Laya,2020-06-02,,,F
1770,Esabaghine,2020-06-02,,,F
1771,Ezzayat ,2020-06-02,,,F
1772,Bellani,2020-06-02,,,F
1773,Gheriane,2020-06-02,,,F
1774,Jabline,2020-06-02,,,F
1775,Korhania,2020-06-02,,,F
1776,Gareet el Manjour,2020-06-02,,,F
1777,Bayadha,2020-06-02,,,F
1778,Ouked Ali,2020-06-02,,,F
1779,Ouled Ennajeh,2020-06-02,,,F
1780,Bhiret,2020-06-02,,,F
1781,Oukled El Faleh 1,2020-06-02,,,F
1782,Oukled El Faleh 2,2020-06-02,,,F
1783,Ennouaji,2020-06-02,,,F
1784,Ouled Abdallah,2020-06-02,,,F
1785,Ghabghoub,2020-06-02,,,F
1786,Ouled berrajeh et Mbarek,2020-06-02,,,F
1787,Bir Aicha,2020-06-02,,,F
1788,Chabet Zitouna,2020-06-02,,,F
1789,Bir El Aati,2020-06-02,,,F
1790,Sodd,2020-06-02,,,F
1791,El Argoub,2020-06-02,,,F
1792,El Mdhila,2020-06-02,Manque d'eau,juin-20,P
1793,El Farch,2020-06-02,,,F
1794,Aiin Battoum 2,2020-06-02,,,F
1795,El Maidher,2020-06-02,,,F
1796,Saadine,2020-06-02,,,F
1797,Sidi Bennour Nsaibia,2020-06-02,,,F
1798,Zbidine,2020-06-02,,,F
1799,Souar,2020-06-02,,,F
1800,Soughass Nord,2020-06-02,,,F
1801,Soughass Sud,2020-06-02,,,F
1802,Rogba,2020-06-02,,,F
1803,Dhorbania,2020-06-02,,,F
1804,Chbaana,2020-06-02,,,F
1805,Glib El Ali,2020-06-02,,,F
1806,Hnainia,2020-06-02,,,F
1807,Hnainia Chatt,2020-06-02,,,F
1808,Bouarar,2020-06-02,,,F
1809,Wekwek,2020-06-02,,,F
1810,Ouled Ben Hsann,2020-06-02,,,F
1811,Sidi Mansour,2020-06-02,,,F
1812,Brahmia,2020-06-02,,,F
1813,Hmira 1,2020-06-02,,,F
1814,Hmira 2,2020-06-02,,,F
1815,Saouaf 7,2020-06-02,,,F
1816,Sidi Dghim,2020-06-02,,,F
1817,Oued El Gsab,2020-06-02,,,F
1818,Khanguet Lemsine,2020-06-02,Endettement STEG,mai-20,P
1819,Dbidiba Ayyashiyya,2020-06-02,,,F
1820,Ejjnahia,2020-06-02,,,F
1821,Chraaba,2020-06-02,,,F
1822,Sfisifa,2020-06-02,,,F
1823,Tallit Ellaben,2020-06-02,,,F
1824,Chnenfa,2020-06-02,,,F
1826,Chirch/Zayatine,2020-06-02,,,F
1827,Dhomda,2020-06-02,,,F
1828,Jbel El Assa,2020-06-02,,,F
1829,Bir Magra,2020-06-02,,,F
1830,Tlil Essalhi,2020-06-02,,,F
1831,Elhjara,2020-06-02,,,F
1832,El Ksour Sidi Ameur,2020-06-02,,,F
1833,Chouahia Hmaydia,2020-06-02,Entartrage des conduite et Branchements illicites,mai-20,P
1834,Oum Laboueb Eljadida,2020-06-02,,,F
1835,Hichir Ksaiir,2020-06-02,,,F
1836,Henchir Bou Feris,2020-06-02,,,F
1837,Jimla,2020-06-02,,,F
1838,Sidi Ziid,2020-06-02,,,F
1839,Dmen El Feryess,2020-06-02,,,F
1840,Oued Sbayhia,2020-06-02,Endettement et Branchements illicites,juin-20,P
1841,Charchara (forage oued ezzit),2020-06-02,,,F
1842,Oued El Ghiren,2020-06-02,Endettement et Branchements illicites,juin-20,P
1843,Henchir Talla,2020-06-02,,,F
1844,Chguagua Souaissia,2020-06-02,,,F
1845,Tell Elmorgene,2020-06-02,Baisse du débit- piquage SONEDE,juin-20,P
1825,Ouled Zouabi,2020-06-02,,,F
1846,Nsaibiya Ouled Ayar,2020-06-02,,,F
1847,Dleyel El Arous,2020-06-02,,,F
1848,Bir El Ghaba,2020-06-02,,,F
1849,Boucha,2020-06-02,,,F
1850,El Jouf Ouest,2020-06-02,,,F
1851,Ain Battria,2020-06-02,,,F
1852,Jradou,2020-06-02,,,F
1853,Ain Safsaf,2020-06-02,,,F
1854,El Amra,2020-07-28,Système fonctionnel mais la population refuse de l'exploiter et demande d'être desservie par la SONEDE ,,F
1855,Zaten,2020-07-28,,,F
1856,Ladbech Lachraf,2020-07-28,,,F
1857,Ezznazfa,2020-07-28,,,F
1858,Sidi Ahmed Touati,2020-07-28,Manque d'eau  suite aux travaux de déplacement des conduites de réfoulement entre la station de pompage mazraa ben slama et le resérvoir sidi touati,,P
1859,Mazraet Ben Slama,2020-07-28,,,F
1860,Beni rachid,2020-07-28,,,F
1861,warifen Zguaba,2020-07-28,,,F
1862,Oued El Ghirene,2020-07-28,,,F
1863,Abou El Wafa,2020-07-28,,,F
1864,Baten Ettrajma,2020-07-28,,,F
1865,El Mguitla,2020-07-28,,,F
1866,Oued Essouinia,2020-07-28,Vol de quelques panneaux solaires.En cours de signature du contrat avec la STEG pour électrification,,A
1867,Ain El Bidha,2020-07-28,,,F
1868,Frachiche - Magra- Ezzaria,2020-07-28,,,F
1869,Ettakadoum,2020-07-28,baisse du débit au point de piquage pendant les heures de pointe,,P
1870,Oued Souani - Ejjadara,2020-07-28,baisse du débit au point de piquage pendant les heures de pointe,,P
1872,Chouabia- Bchairia - Enniima,2020-07-28,,,F
1873,Bouhraoua,2020-07-28,,,F
1875,Ouled Brahim - El Ghraslia,2020-07-28,,,F
1876,Hmaima 2,2020-07-28,,,F
1877,Essafsaf - Ain Anag- Boumatmour+ extension Mraihia El ouj ,2020-07-28,,,F
1878,El Mhadhbia - Ouled Othman,2020-07-28,,,F
1879,El Graidia- Traidia,2020-07-28,,,F
1880,Garit Mehdi - Bir Hmida,2020-07-28,,,F
1881,Mzita - Msalhia ,2020-07-28,,,F
1882,Essmara - Zghalma,2020-07-28,,,F
1883,Rebiba ,2020-07-28,,,F
1884,El Baten ,2020-07-28,,,F
1885,Douar El Haj Abdallah - Hmidet ,2020-07-28,,,F
1886,Chaanba - Ouled Assal,2020-07-28,,,F
1887,Sidi Mbarek,2020-07-28,,,F
1888,Kodiet El Arka,2020-07-28,,,F
1889,Ouled Saad,2020-07-28,,,F
1890,Essouidat,2020-07-28,,,F
1891,Ouled Maarouf - El Aalaoua,2020-07-28,,,F
1871,Kbouch,2020-07-28,,,F
1892,Ouled Maach,2020-07-28,,,F
1893,Kambra ,2020-07-28,,,F
1894,Souari Abida,2020-07-28,,,F
1895,Mdeina - Ouled Khlef - Chaabnia,2020-07-28,,,F
1896,ouled soltan,2020-07-28,,,F
1897,bouguarech,2020-07-28,,,F
1898,sidi baraket ,2020-07-28,,,F
1899,elmarja,2020-07-28,,,F
1900,Thermda ,2020-07-28,trasferer a la sonede,,F
1901,Semda ,2020-07-28,,,F
1902,Saadna,2020-07-28,,,F
1903,Ain Fdhil- El Mkadim- Zahouen Esslaimia,2020-07-28,,,F
1904,ellouata,2020-07-28,,,F
1905,Ouled Ahmed ,2020-07-28,,,F
1906,Kodiet Echair,2020-07-28,,,F
1907,Ejfara- Ouled Bouaziz,2020-07-28,,,F
1908,El Aafssat- El Houilet,2020-07-28,,,F
1909,Ezzaitouna ,2020-07-28,,,F
1910,Ain Ksiba,2020-07-28,,,P
1911,Benou- Ouled Belghith- Msatria- Dhouaflia- Ben Nfissa,2020-07-28,,,F
1912,Sbabha- Hmidet- Ghouazi,2020-07-28,,,F
1914,Ain Gattar- Ouled Salah,2020-07-28,,,F
1915,Ezdairia,2020-07-28,,,F
1916,Lorbus Karia - El Agba,2020-07-28,,,P
1917,Lorbus Mahatta - Dchaouria - Klaa,2020-07-28,,,F
1918,El Bkhairia- Sidi Amor,2020-07-28,,,F
1919,El Maiidher,2020-07-28,,,F
1920,El Hamri et Gssiaat ,2020-07-28,,,F
1921,Ouled Ali- El Hzaizia,2020-07-28,Pas de ressource en eau,,A
1922,Tricha - Ouled Harbi ,2020-07-28,Pas de ressource en eau,,A
1923,El Argoub ,2020-07-28,baisse du débit du puit de surface,,F
1924,Sidi Nacer,2020-07-28,,,F
1925,Zanfour- Ouled Mbarek- Hmarnia,2020-07-28,,,F
1927,Aouaoudha,2020-07-28,,,F
1928,Draghmia- Bir Ennakhla- Sidi M'tir,2020-07-28,,,F
1929,El Khlij- Sidi Said- Bir Khedher,2020-07-28,,,F
1930,Sidi Ammar ,2020-07-28,,,F
1931,ouled slim,2020-07-28,,,F
1932,Ennajet,2020-07-28,,,F
1933,Sidi Abdelbacet- Bouyagoum - Ouled Mannaa,2020-07-28,,,F
1934,Garn Halfaya- Maouine- El Goussa- Touahria,2020-07-28,,,F
1935,Jezza- Echammam,2020-07-28,,,F
1936,Chammem 2,2020-07-28,,,F
1937,El Houdh- Essadr- El Mouazna,2020-07-28,,,F
1938,Essouihine,2020-07-28,,,F
1939,Borj Eddiwana,2020-07-28,,,F
1940,Ain Babbouch,2020-07-28,,,F
1941,Fej Mjaled ,2020-07-28,,,F
1942,Soualmia -Houaymia,2020-07-28,,,F
1913,El Kheloua,2020-07-28,,,F
1943,Ennadhour- Mhafdhia,2020-07-28,,,F
1944,El Hmaizia- Sidi messaoud,2020-07-28,,,F
1945,El Gdah- Soualhia,2020-07-28,,,F
1946,El Hmayzia,2020-07-28,,,F
1947,Forna,2020-07-28,,,F
1948,Hinchir sarrat,2020-07-28,,,F
1949,Henchir Jnoun ,2020-07-28,,,F
1950,Jradou- Takrouna,2020-07-28,,,F
1951,El Gol ,2020-07-28,,,F
1952,Hzim,2020-07-28,,,F
1953,El Frihi- Etouaymia,2020-07-28,,,P
1954,Ejjaddara Ouled Abid ,2020-07-28,debit faible ( SONEDE),,P
1955,Sidi Rabeh- Ettabia,2020-07-28,,,P
1956,Rouabech ,2020-07-28,,,F
1957,Sfaya,2020-07-28,,,F
1958,Mallala- Ladhieb- Khchaichia-Hjaoujia- Mgadim et Ain El Karma,2020-07-28,reseau en mauvaise etat,,A
1959,El Ghzaouza ,2020-07-28,,,F
1960,Essaassaa,2020-07-28,,,F
1961,Ouljet Esdra- El Barzekh ,2020-07-28,,,F
1962,Khdayjia,2020-07-28,,,F
1963,El Gsar- Ouena- Ouled Arfa,2020-07-28,Pas de ressource en eau,,A
1964,Griguit ,2020-07-28,,,F
1965,Zaatria ,2020-07-28,Manque d'eau,Avant été 2020,P
1966,El Hara ,2020-07-28,,,F
1967,Tel Ghozlene- Bou abouna- Klaa- A?n El Morra,2020-07-28,,,F
1968,Ghinjata,2020-07-28,,,F
1969,Ain El Henchir,2020-07-28,Endettement Etat du réseau Branchements illicites,Avant été 2020,A
1970,Echtatla- Sidi Medyen,2020-07-28,Pas de ressource en eau,,A
1971,Ettaref- Jbeylia,2020-07-28,,,F
1972,El Ftaimia- El Hraghine- Barkene ,2020-07-28,,,F
1973,El Mjajria ,2020-07-28,,,F
1974,Sarrat Gare,2020-07-28,,,F
1975,El Hyedra ,2020-07-28,,,F
1976,Gorrayya,2020-07-28,,,F
1977,Ain Zarga,2020-07-28,,,F
1978,Fej Tmar- ,2020-07-28,,,F
1979,SIDI ACHOUR ,2020-07-28,,,F
1980,BORJ EL KHALSI,2020-07-28,,,F
1981,BIR EJJDID,2020-07-28,,,F
1982,MASAADINE,2020-07-28,,,F
1983,EL AOUILIA,2020-07-28,,,F
1984,BIR ETTOUIL ,2020-07-28,,,F
1986,FIDH ALA AMRINE ,2020-07-28,,,F
1987,AL ALOUINE ,2020-07-28,,,F
1988,NFAIDH ,2020-07-28,Baisse de débit en période de pointe au niveau du piquage Sonede.                                         ,                                                                   * Démarrage des travaux  GC de la bache dereprise le 06/07/2020 (Délai d'exécution 120 jours).                          ,P
1989,HALFAOUI,2020-07-28,,,F
1990,MAHFOURA,2020-07-28,,,F
20,Sidi Ahmed Touati,2020-07-07,Manque d'eau  suite aux travaux de déplacement des conduites de réfoulement entre la station de pompage mazraa ben slama et le resérvoir sidi touati,juil-20,P
21,Mazraet Ben Slama,2020-07-07,,,F
1985,DRIJA ,2020-07-28,,,F
1991,ZOUITINA,2020-07-28,,,F
1992,KHRIBA,2020-07-28,,,F
1993,ERRABTA,2020-07-28,,,F
1994,TIRRASSET,2020-07-28,,,F
1995,BOOLI ,2020-07-28,,,F
1996,BEN GHNIA ,2020-07-28,,,F
1997,HINCHIR EZOUYA/SIDIALI BEN OUN,2020-07-28,,,F
1998,SIDI SAID,2020-07-28,,,F
1999,HENNA ,2020-07-28,,,F
2000,GANTOURIA ,2020-07-28,,,F
2001,MANZEL SHAL ,2020-07-28,,,F
2002,MANZEL AMOR (chaouat),2020-07-28,,,F
2003,HKAIMIA ,2020-07-28,,,F
2004,GUECHBA SIDI SALEM ,2020-07-28,,,F
2005,HENNA ET DHNIBA ,2020-07-28,,,F
2006,SIDI ALI HATTAB ,2020-07-28,,,F
2007,BOUHAMED,2020-07-28,,,F
2008,AIN KARMA,2020-07-28,,,F
2009,MAAFRINE ,2020-07-28,,,F
2010,FAZANINE,2020-07-28,,,F
2011,JNAIDIA,2020-07-28,,,F
2012,MELLEHA,2020-07-28,,,F
2013,GAFFAYA,2020-07-28,,,F
2014,AIN HAWARIA,2020-07-28,,,F
2015,MAGTAA ET NADHOUR,2020-07-28,,,F
2016,BOUALI,2020-07-28,,,F
2017,TYAYRA,2020-07-28,,,F
2018,BEJA KADIMA,2020-07-28,,,F
2019,BOUKHARROUBA,2020-07-28,,,F
2020,DOUAR EL BAY ELLOZGA,2020-07-28,Baisse de débit en période de pointe au niveau du piquage Sonede.,en cours d'exécution des travaux de recalibrage de la conduite d'adduction qui alimente le point de piquage (au niveau de la station de reprise : Douar el Bay ) par la SONEDE   (Merci pour l'ntervention de la DGGREE auprès de la SECADENORD )                                                NB: En cours d'achevement des travaux  pour le traversée du CANAL date de mise en eau: prévue à partir du 29/07/2020 (selon SONEDE),P
2021,Echahbania Est,2020-07-28,,,F
2022,EchahbaniaOuest,2020-07-28,,,F
2023,Henchir Hwachi,2020-07-28,Manque d'eau (mauvaise gestion designation d'une comité de gestion provisoire) ,Aout 2020,P
2024,Beniri,2020-07-28,Manque d'eau ,Aout 2020,P
2025,Essfifir,2020-07-28,,,F
2026,Ennafatiya,2020-07-28,,,F
2027,Oued Ettaam,2020-07-28,,,F
2028,Essnam,2020-07-28,,,F
2029,El Ferjanya,2020-07-28,,,F
2030,Bou Guedima,2020-07-28,,,F
2031,Grar Bou Ghrara,2020-07-28,,,F
2032,El Halfaoui,2020-07-28,,,F
2033,Echguiguiya,2020-07-28,,,F
2034,Echraf,2020-07-28,,,F
2035,Bou Ramli,2020-07-28,,,F
2036,Ras Bou Ramli,2020-07-28,,,F
2037,Aalamet El Mechlouch,2020-07-28,,,F
2038,El Mraiich,2020-07-28,,,F
2039,El Itha,2020-07-28,,,F
2040,Cité Rguii,2020-07-28,,,F
2041,El Grine,2020-07-28,,,F
2042,Amra,2020-07-28,,,F
2043,Chaabet Sali,2020-07-28,,,F
2044,Essaadene,2020-07-28,,,F
2045,El Hlalma El Outhanya,2020-07-28,,,F
2046,Echaabania,2020-07-28,,,F
2047,El Meghraouia,2020-07-28,,,F
2048,Mars et Krid,2020-07-28,,,F
2049,Gsibet El Lhiouette,2020-07-28,,,F
2050,Cité Jwili,2020-07-28,,,F
2051,Essed,2020-07-28,,,F
2052,El Gattar,2020-07-28,,,F
2053,Henchir El Mejel,2020-07-28,,,F
2054,Menzelt Mogar,2020-07-28,,,F
2055,Medhhar El hallouf,2020-07-28,,,F
2056,Aziza,2020-07-28,,,F
2057,Wejh El Ghaa,2020-07-28,,,F
2058,Chaabet El Mejel,2020-07-28,,,F
2059,El Bagbag II,2020-07-28,,,F
2060,El Bagbag I,2020-07-28,,,F
2061,Ksar Ejra,2020-07-28,Manque d'eau ,Aout 2020,A
2062,Oued El Khil,2020-07-28,,,F
2063,El Msselekh,2020-07-28,,,F
2064,El Battouma,2020-07-28,,,F
2065,Bou Ala,2020-07-28,,,F
2066,El Awachir,2020-07-28,,,F
2067,Enkim,2020-07-28,,,F
2068,Warzgha,2020-07-28,Manque d'eau,Aout 2020,P
2069,Echwamekh,2020-07-28,Manque d'eau,Aout 2020,P
2070,El Hachana,2020-07-28,Manque d'eau,Aout 2020,P
2071,Grib,2020-07-28,,,F
2072,Chaabet El Maarek,2020-07-28,,,F
2073,El Mechbek,2020-07-28,,,F
2074,Bennirane,2020-07-28,,,F
2075,Chaabet Essour,2020-07-28,,,F
2076,Tebne Soliman,2020-07-28,,,F
2077,Boucharay Soliman,2020-07-28,,,F
2079,Bouafif Bni khaled,2020-07-28,,,F
2080,Rouihine et aitha Menzel  Bouzelfa,2020-07-28,,,F
2081,Bouchrik  Menzel Bouzelfa,2020-07-28,,,F
2082,Takelsa Janoubia,2020-07-28,,,F
2083,Takelsa oued abid,2020-07-28,,,F
2084,Jibilet Elousset,2020-11-05,,,F
2085,Jbal Trif Grombalia,2020-07-28,Chute de debit,44013,P
22,Beni rachid,2020-07-07,,,F
2086,Bni ayech Grombalia,2020-07-28,Manque des ressources an eau,43983,P
2087,Bouzekri et touelbia Grombalia,2020-07-28,,,F
2088,Henchir Jbir Grombalia,2020-07-28,,,F
2089,Bourbyi Bou arghoub,2020-07-28,,,F
2090,Kharrouba Bou arghoub,2020-07-28,,,F
2091,Bousham Bou Arghoub,2020-07-28,,,F
2092,Arghoub essid Bou Arghoub,2020-07-28,,,F
2093,El maktaa  Bou arghoub,2020-07-28,,,F
2094,Hamman JDIDI Hammamet,2020-07-28,,,F
2095,Sidi hammed et besbassia Hamammet,2020-07-28,,,F
2096,Beni ouael Hammamet,2020-07-28,,,F
2097,Menzel Mousa Hammamet,2020-07-28,,,F
2098,Mziraa Hammamet,2020-07-28,,,F
2099,Latrach Hammamet,2020-07-28,,,F
2100,Gosbet korba,2020-07-28,,,F
2101,Gobbet lagha Korba,2020-07-28,,,F
2102,Boulidin Korba,2020-07-28,,,F
2103,Boulazhar Korba,2020-07-28,,,F
2104,Henchir tirif Korba,2020-07-28,,,F
2105,Awled Ben thamer Korba,2020-07-28,,,F
2106,El ouidienne Menzel Tmime,2020-07-28,,,F
2107,Soudene Menzel Tmime,2020-07-28,,,F
2108,Nakhla Menzel Tmime,2020-07-28,,,F
2109,Garsouline Menzel Tmime,2020-07-28,,,F
2110,Menzel Yahya Menzel Tmime,2020-07-28,,,F
2111,Irgh Esses Menzel Tmime,2020-07-28,,,F
2112,Dhbaa Menzel Tmime,2020-07-28,,,F
2113,Menzel Ibrahim Klibia,2020-07-28,,,F
2114,El Hzaizia Hawaria,2020-07-28,,,F
2115,El koudwa Hawaria,2020-07-28,,,F
2116,Ksira w Zwabi Hawaria,2020-07-28,,,F
2117,Nawalet Mida,2020-07-28,,,F
2118,Tamazrat  Hammam El Ghzaz,2020-07-28,,,F
2119,El Halfa Bni Khiar,2020-07-28,,,F
2120,Ghardaya Bni Khiar,2020-07-28,,,F
2121,Bou Jarboua,2020-07-28,HEM SR,fin juillet,P
2122,Markez Mosbeh,2020-07-28,pression faible,en cours de depouillement génie civil,P
2123,OM Saleh,2020-07-28,pression faible,en cours de depouillement génie civil,P
2124,Mhedhba_ Chnaina_ Kasr Rih,2020-07-28,pression faible,en cours de depouillement génie civil,P
2125,Sidi Hssen Belhaj Hlelefa,2020-07-28,transfert à la SONEDE,fin juillet,P
2126,Bousaid Hadhara,2020-07-28,,,F
2127,Sbih,2020-07-28,manque de ressources + dettes,après réechelonnement des dettes,P
2128,Naouel (3GDA),2020-07-28,dettes SONEDE,après réechelonnement des dettes,A
23,warifen Zguaba,2020-07-07,,,F
2129,Intlaka Aouled Amor,2020-07-28,,,F
2130,Intlika Aouled Amor nouveau,2020-07-28,,,F
2131,Intlika Aouled Amor Ancien,2020-07-28,,,F
2132,Mghadhia,2020-07-28,,,F
2133,Mghadhia Chouket,2020-07-28,,,F
2134,Ethet Chlaya,2020-07-28,"Réhab,SAEP",2021,A
2135,Ghaib,2020-07-28,,,F
2136,Satour et swaktia - Jerwala,2020-07-28,,,F
2137,Bou said Hadhara,2020-07-28,,,F
2138,Bousaid Knitra,2020-07-28,,,F
2139,Bousaid Knitra ,2020-07-28,,,F
2140,Toleb Ras Souinia,2020-07-28,,,F
2141,Ras souina _Toleb,2020-07-28,,,F
2142,Aouled Fatnassi,2020-07-28,,,F
2143,Sidi Ghrib,2020-07-28,"Réhab,SAEP",AOUT 2020,A
2144,Tarfaoui,2020-07-28,,,F
2145,Gragour,2020-07-28,dettes SONEDE + panne technique (bouchage),,A
2146,Gargour,2020-07-28,,,A
2147,Sawa3ed,2020-07-28,dettes SONEDE,,A
2148,Bouladhieb,2020-07-28,,,F
